Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Which of the following best describes your opinion of AI?,Which best describes how you use AI for homework? (Remember this survey is anonymous.),At what age did you get your first smartphone?,"How many countries have you visited? Please write your answer as an integer (e.g., if you've never left the United States, write 1, if you've also been to Canada, write 2, etc.).  ",Rate the following movies. [Loved it! ],Rate the following movies. [Liked it.],Rate the following movies. [Just OK.],Rate the following movies. [Didn't like it.],Rate the following movies. [Hated it!],Rate the following movies. [Never seen it.]
1/18/2026 12:51:18,BME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I don't use AI at all.,12,7,,"Frozen, KPop Demon Hunters, Star Wars: The Rise of Skywalker, Titanic","Avengers: Endgame, Wicked",,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, Interstellar, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025)"
1/18/2026 13:10:01,ME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,15,"Barbie, Wicked","Avengers: Endgame, Frozen, Interstellar, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker",Titanic,,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Superman (2025)"
1/18/2026 13:37:50,EE,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,13,15,"Get Out, Interstellar",Avengers: Endgame,"Frozen, Titanic",Wicked,,"Avatar: Fire and Ash, Barbie, Dune, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025)"
1/18/2026 13:37:55,ME,Programming algorithms,I dislike it and I avoid it if I can.,I use AI to explain concepts and check my answers.,10,12,"Avengers: Endgame, Interstellar, Superman (2025)","Barbie, My Neighbor Totoro",Frozen,Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, Spider-Man: Across the Spiderverse, Titanic, Wicked"
1/18/2026 14:22:08,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,9,+10 ,Avengers: Endgame,Interstellar,Titanic,,,
1/18/2026 14:30:41,ME,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,10,12,"Avengers: Endgame, Frozen, KPop Demon Hunters, Spider-Man: Across the Spiderverse",,My Neighbor Totoro,,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, Interstellar, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/18/2026 15:02:08,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,6,"Barbie, Frozen, Interstellar",,,,,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/18/2026 16:53:46,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,11,5,Interstellar,"Avengers: Endgame, Barbie, Get Out, Spider-Man: Across the Spiderverse","Frozen, Superman (2025)",,,"Avatar: Fire and Ash, Dune, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Titanic, Wicked"
1/18/2026 18:15:45,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I don't use AI at all.,12,14,My Neighbor Totoro,"Avengers: Endgame, KPop Demon Hunters, Superman (2025)","Frozen, Spider-Man: Across the Spiderverse",Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, Interstellar, Titanic, Wicked"
1/18/2026 18:18:06,CE,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,8,6,"Avengers: Endgame, Dune, Interstellar, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Titanic","Avatar: Fire and Ash, KPop Demon Hunters","Barbie, Frozen, Get Out, Star Wars: The Rise of Skywalker, Superman (2025)",,,Wicked
1/18/2026 18:24:28,EE,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,14,30,"Dune, Get Out, Interstellar, Titanic","Avengers: Endgame, Frozen, Spider-Man: Across the Spiderverse, Superman (2025)",Star Wars: The Rise of Skywalker,,Barbie,"Avatar: Fire and Ash, KPop Demon Hunters, My Neighbor Totoro, Wicked"
1/18/2026 20:40:49,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,6,"Avengers: Endgame, Dune, Frozen, Interstellar, Spider-Man: Across the Spiderverse, Titanic","Barbie, My Neighbor Totoro",KPop Demon Hunters,Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, Get Out, Superman (2025), Wicked"
1/18/2026 20:41:15,ME,Pen-and-paper math,I like it a lot its a great tool for teaching,I use AI to explain concepts and check my answers.,12,6,Get Out,"Interstellar, Star Wars: The Rise of Skywalker, Superman (2025)","Avengers: Endgame, Barbie, Frozen, Spider-Man: Across the Spiderverse",,,"Avatar: Fire and Ash, Dune, KPop Demon Hunters, My Neighbor Totoro, Titanic, Wicked"
1/18/2026 20:56:15,ME,Programming algorithms,I dislike it and I avoid it if I can.,I only use AI to check my answers.,11,16,"Dune, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse","Avengers: Endgame, Barbie, Frozen, Get Out",,,Star Wars: The Rise of Skywalker,"Avatar: Fire and Ash, Superman (2025), Titanic, Wicked"
1/18/2026 21:05:13,EE,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,2,"Superman (2025), Wicked","Barbie, Frozen","KPop Demon Hunters, My Neighbor Totoro",,,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Get Out, Interstellar, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Titanic"
1/18/2026 21:30:35,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,2,"Dune, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025)","Avengers: Endgame, Barbie, Get Out, Interstellar, Wicked","Frozen, KPop Demon Hunters, Star Wars: The Rise of Skywalker",,,"Avatar: Fire and Ash, Titanic"
1/18/2026 22:24:46,EE,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,1,"Avengers: Endgame, Spider-Man: Across the Spiderverse","Get Out, Interstellar, KPop Demon Hunters, Star Wars: The Rise of Skywalker",,,,"Avatar: Fire and Ash, Barbie, Dune, Frozen, My Neighbor Totoro, Superman (2025), Titanic, Wicked"
1/18/2026 22:38:39,BME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I only use AI to check my answers.,15,5,"Barbie, Dune, Frozen, Get Out, Spider-Man: Across the Spiderverse, Superman (2025), Wicked","Avengers: Endgame, Interstellar, My Neighbor Totoro, Titanic","Avatar: Fire and Ash, Star Wars: The Rise of Skywalker",KPop Demon Hunters,,
1/18/2026 22:42:18,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",explain concepts and steps to solving answers (not just for the answer),14,11,My Neighbor Totoro,"Avengers: Endgame, Frozen, Wicked",Barbie,KPop Demon Hunters,,"Avatar: Fire and Ash, Dune, Get Out, Interstellar, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic"
1/18/2026 23:11:49,BME,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,5,"Dune, Interstellar","Frozen, Star Wars: The Rise of Skywalker",Barbie,,,"Avatar: Fire and Ash, Avengers: Endgame, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic, Wicked"
1/18/2026 23:15:32,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I don't use AI at all.,11,1,"Dune, KPop Demon Hunters, Spider-Man: Across the Spiderverse","Avengers: Endgame, Barbie, Get Out, Superman (2025), Titanic, Wicked",Frozen,Interstellar,Star Wars: The Rise of Skywalker,"Avatar: Fire and Ash, My Neighbor Totoro"
1/19/2026 1:13:11,CE,Programming algorithms,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,13,6,"Avengers: Endgame, Interstellar, Spider-Man: Across the Spiderverse","Dune, KPop Demon Hunters, Star Wars: The Rise of Skywalker","Frozen, Titanic",,,"Avatar: Fire and Ash, Barbie, Get Out, My Neighbor Totoro, Superman (2025), Wicked"
1/19/2026 2:48:28,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,1,"Avengers: Endgame, Barbie, Spider-Man: Across the Spiderverse","Frozen, Interstellar, Superman (2025)",KPop Demon Hunters,Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, Dune, Get Out, My Neighbor Totoro, Titanic, Wicked"
1/19/2026 5:37:47,BME,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,13,"Avengers: Endgame, Dune, Get Out, Interstellar","My Neighbor Totoro, Spider-Man: Across the Spiderverse","Barbie, Frozen",Star Wars: The Rise of Skywalker,,"Avatar: Fire and Ash, KPop Demon Hunters, Superman (2025), Titanic, Wicked"
