Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Which of the following best describes your opinion of AI?,Which best describes how you use AI for homework? (Remember this survey is anonymous.),At what age did you get your first smartphone?,"How many countries have you visited? Please write your answer as an integer (e.g., if you've never left the United States, write 1, if you've also been to Canada, write 2, etc.).  ",Rate the following movies. [Loved it! ],Rate the following movies. [Liked it.],Rate the following movies. [Just OK.],Rate the following movies. [Didn't like it.],Rate the following movies. [Hated it!],Rate the following movies. [Never seen it.]
1/16/2026 17:53:28,BME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,4,,Avengers: Endgame,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/16/2026 17:53:47,ME,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,13,5,"Frozen, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Wicked",,,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, Superman (2025), Titanic"
1/16/2026 17:54:18,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,11,1,"Avengers: Endgame, Dune, Interstellar, Spider-Man: Across the Spiderverse","Avatar: Fire and Ash, Barbie, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked",Frozen,,,"Get Out, KPop Demon Hunters, Titanic"
1/16/2026 17:54:44,ME,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,8,,"Frozen, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Titanic",Interstellar,"Barbie, KPop Demon Hunters",,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Get Out, My Neighbor Totoro, Superman (2025), Wicked"
1/16/2026 17:55:15,BME,Writing reports and making presentations,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,26,Wicked,,Frozen,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic"
1/16/2026 17:55:21,EE,Programming algorithms,I dislike it and I avoid it if I can.,I don't use AI at all.,14,1,Interstellar,,Frozen,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025), Titanic, Wicked"
1/16/2026 17:55:29,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,8,"Avengers: Endgame, Get Out, Interstellar, Star Wars: The Rise of Skywalker, Titanic","Barbie, Frozen, Spider-Man: Across the Spiderverse","Dune, Wicked",,,"Avatar: Fire and Ash, KPop Demon Hunters, My Neighbor Totoro, Superman (2025)"
1/16/2026 17:55:48,ME,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,5,Avengers: Endgame,,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/16/2026 17:57:25,CE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,12,Spider-Man: Across the Spiderverse,Interstellar,"Avengers: Endgame, Frozen, Titanic",,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/16/2026 18:00:02,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,3,,Avengers: Endgame,,,,"Avatar: Fire and Ash, Barbie, Dune"
1/16/2026 18:01:38,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,13,5,"Avengers: Endgame, My Neighbor Totoro, Spider-Man: Across the Spiderverse","Interstellar, KPop Demon Hunters, Star Wars: The Rise of Skywalker, Titanic, Wicked","Barbie, Frozen",,,"Avatar: Fire and Ash, Dune, Get Out, Superman (2025)"
1/16/2026 18:05:09,EE,Pen-and-paper math,I dislike it and I avoid it if I can.,I only use AI to check my answers.,13,6,Star Wars: The Rise of Skywalker,"Avengers: Endgame, Spider-Man: Across the Spiderverse, Superman (2025)",Interstellar,Frozen,,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Titanic, Wicked"
1/16/2026 18:07:04,ME,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,10,2,"Get Out, Superman (2025)","Frozen, Spider-Man: Across the Spiderverse","Titanic, Wicked",,"Avengers: Endgame, Barbie","Avatar: Fire and Ash, Dune, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker"
1/16/2026 18:09:40,EE,Pen-and-paper math,I dislike it and I avoid it if I can.,I don't use AI at all.,12,5,"Avatar: Fire and Ash, Dune, Interstellar, KPop Demon Hunters","Avengers: Endgame, Frozen, Wicked",,,Star Wars: The Rise of Skywalker,"Barbie, Get Out, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic"
1/16/2026 18:09:42,CE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,9,19,Avengers: Endgame,"Frozen, Spider-Man: Across the Spiderverse",Superman (2025),"Barbie, Wicked",,"Avatar: Fire and Ash, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Titanic"
1/16/2026 18:15:10,BME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,2,"Interstellar, KPop Demon Hunters",Avengers: Endgame,"Barbie, Frozen, Titanic",Wicked,,"Avatar: Fire and Ash, Dune, Get Out, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Superman (2025)"
1/16/2026 18:15:35,EE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,14,4,,Avengers: Endgame,Barbie,,,Avatar: Fire and Ash
1/16/2026 18:17:10,BME,Programming algorithms,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,16,"Dune, Interstellar, My Neighbor Totoro",,"Avengers: Endgame, Barbie, Spider-Man: Across the Spiderverse, Titanic","Avatar: Fire and Ash, Frozen","Star Wars: The Rise of Skywalker, Wicked","Get Out, KPop Demon Hunters, Superman (2025)"
1/16/2026 18:18:44,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,11,3,"Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Titanic","Avengers: Endgame, Barbie, Frozen",,,,"Avatar: Fire and Ash, Dune, Star Wars: The Rise of Skywalker, Superman (2025), Wicked"
1/16/2026 18:23:55,ME,"Collecting data (in a ""wet lab"" or other setting)",I dislike it and I avoid it if I can.,"AI mostly does my homework for me, while I study for exams.",11,15,"Interstellar, Superman (2025), Wicked","Avengers: Endgame, Barbie, Frozen",,,,"Avatar: Fire and Ash, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Titanic"
1/16/2026 18:24:23,ME,Pen-and-paper math,I dislike it and I avoid it if I can.,I don't use AI at all.,8,6,Spider-Man: Across the Spiderverse,"Barbie, Frozen, KPop Demon Hunters, Superman (2025), Wicked",,,,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Get Out, Interstellar, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Titanic"
1/16/2026 18:25:40,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,15,12,,"Barbie, Dune",,,,"Avatar: Fire and Ash, Avengers: Endgame"
1/16/2026 18:27:32,BME,"Collecting data (in a ""wet lab"" or other setting)","Neutral, and I use it when it helps me.",I only use AI to check my answers.,11,12,"Barbie, Interstellar, My Neighbor Totoro",KPop Demon Hunters,"Frozen, Spider-Man: Across the Spiderverse, Titanic, Wicked",,,"Avatar: Fire and Ash, Avengers: Endgame, Dune, Get Out, Star Wars: The Rise of Skywalker, Superman (2025)"
1/16/2026 18:45:15,EE,Pen-and-paper math,"It extremely dangerous but extremely useful, I use it as a tool to help me learn concepts or do simple tasks but overuse can lead to a decline in indpendent ability",only to explain concepts as it isnt the best for accuracy,14,6,Interstellar,"Avengers: Endgame, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker",Frozen,,Wicked,"Avatar: Fire and Ash, Barbie, Dune, Get Out, KPop Demon Hunters, My Neighbor Totoro, Superman (2025), Titanic"
1/16/2026 18:46:55,EE,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,4,,Star Wars: The Rise of Skywalker,Frozen,,,"Avatar: Fire and Ash, Avengers: Endgame, Barbie, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Superman (2025), Titanic, Wicked"
1/16/2026 18:51:03,CE,Pen-and-paper math,I like it and I use it wherever possible.,I use AI to explain concepts and check my answers.,11,3,"Frozen, Get Out, KPop Demon Hunters","Avengers: Endgame, Barbie, Superman (2025), Titanic",,,,"Avatar: Fire and Ash, Dune, Interstellar, My Neighbor Totoro, Spider-Man: Across the Spiderverse, Star Wars: The Rise of Skywalker, Wicked"
1/16/2026 18:57:15,ME,Programming algorithms,"Neutral, and I use it when it helps me.",I only use AI to check my answers.,11,5,"Frozen, Spider-Man: Across the Spiderverse",Avengers: Endgame,,,Wicked,"Avatar: Fire and Ash, Barbie, Dune, Get Out, Interstellar, KPop Demon Hunters, My Neighbor Totoro, Star Wars: The Rise of Skywalker, Superman (2025), Titanic"
1/16/2026 19:02:36,ME,Pen-and-paper math,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,13,5,"Get Out, Interstellar, My Neighbor Totoro, Star Wars: The Rise of Skywalker","Avengers: Endgame, Barbie, Frozen, Spider-Man: Across the Spiderverse, Titanic",Dune,Wicked,,"Avatar: Fire and Ash, KPop Demon Hunters, Superman (2025)"
1/16/2026 19:07:43,CE,Programming algorithms,"Neutral, and I use it when it helps me.",I use AI to explain concepts and check my answers.,12,22,"Dune, Get Out, Spider-Man: Across the Spiderverse, Wicked","Avatar: Fire and Ash, Avengers: Endgame, Barbie, Frozen, Interstellar, KPop Demon Hunters",Titanic,Superman (2025),,"My Neighbor Totoro, Star Wars: The Rise of Skywalker"
