index,error
666,0.026204
667,0.021204
668,0.016204
669,0.011204
670,0.022926
671,0.017926
672,0.012926
673,0.024649
674,0.019649
675,0.014649
676,0.009649
677,0.004649
678,0.016371
679,0.011371
680,0.023094
681,0.018094
682,0.013094
683,0.024816
684,0.019816
685,0.014816
686,0.026539
687,0.021538
688,0.016539
689,0.011539
690,0.006539
691,0.018261
692,0.013261
693,0.024983
694,0.019984
695,0.014983
696,0.026706
697,0.021706
698,0.016706
699,0.011706
700,0.023428
701,0.018428
702,0.013428
703,0.008428
704,0.02015
705,0.015151
706,0.01015
707,0.021873
708,0.016873
709,0.028595
710,0.023595
711,0.018595
712,0.013595
713,0.025318
714,0.020318
715,0.015318
716,0.010318
717,0.02204
718,0.01704
719,0.01204
720,0.023762
721,0.018763
722,0.030485
723,0.025485
724,0.020485
725,0.015485
726,0.027207
727,0.022207
728,0.017207
729,0.012207
730,0.02393
731,0.01893
732,0.01393
733,0.025652
734,0.020652
735,0.015652
736,0.027375
737,0.022375
738,0.017375
739,0.012375
740,0.024097
741,0.019097
742,0.014097
743,0.009097
744,0.020819
745,0.015819
746,0.027542
747,0.022542
748,0.017542
749,0.029264
750,0.024264
751,0.019264
752,0.014264
753,0.025987
754,0.020987
755,0.015987
756,0.010987
757,0.022709
758,0.017709
759,0.012709
760,0.024431
761,0.019432
762,0.014431
763,0.026154
764,0.021154
765,0.016154
766,0.027876
767,0.022876
768,0.017876
769,0.012877
770,0.024599
771,0.019599
772,0.014599
773,0.009599
774,0.021321
775,0.016321
776,0.028044
777,0.023043
778,0.018044
779,0.029766
780,0.024766
781,0.019766
782,0.014766
783,0.009766
784,0.021488
785,0.016488
786,0.011488
787,0.023211
788,0.018211
789,0.029933
790,0.024933
791,0.019933
792,0.014933
793,0.026655
794,0.021656
795,0.016655
796,0.011656
797,0.023378
798,0.018378
799,0.013378
800,0.0251
801,0.0201
802,0.0151
803,0.026823
804,0.021823
805,0.016823
806,0.028545
807,0.023545
808,0.018545
809,0.013545
810,0.008545
811,0.020267
812,0.015267
813,0.02699
814,0.02199
815,0.01699
816,0.01199
817,0.023712
818,0.018713
819,0.030435
820,0.025435
821,0.020435
822,0.015435
823,0.010435
824,0.022157
825,0.017157
826,0.012157
827,0.02388
828,0.01888
829,0.01388
830,0.025602
831,0.020602
832,0.015602
833,0.027324
834,0.022324
835,0.017324
836,0.012324
837,0.007324
838,0.019047
839,0.014047
840,0.025769
841,0.020769
842,0.015769
843,0.010769
844,0.022492
845,0.017492
846,0.029214
847,0.024214
848,0.019214
849,0.014214
850,0.009214
851,0.020936
852,0.015937
853,0.027659
854,0.022659
855,0.017659
856,0.012659
857,0.024381
858,0.019381
859,0.031104
860,0.026104
861,0.021104
862,0.016104
863,0.011104
864,0.022826
865,0.017826
866,0.012826
867,0.024549
868,0.019549
869,0.014549
870,0.026271
871,0.021271
872,0.016271
873,0.027994
874,0.022994
875,0.017993
876,0.012993
877,0.007994
878,0.019716
879,0.014716
880,0.026438
881,0.021438
882,0.016438
883,0.028161
884,0.02316
885,0.018161
886,0.029883
887,0.024883
888,0.019883
889,0.014883
890,0.009883
891,0.021605
892,0.016605
893,0.011606
894,0.023328
895,0.018328
896,0.03005
897,0.025051
898,0.020051
899,0.01505
900,0.026772
901,0.021772
902,0.016773
903,0.011773
904,0.023495
905,0.018495
906,0.013495
907,0.025218
908,0.020217
909,0.03194
910,0.02694
911,0.02194
912,0.01694
913,0.028662
914,0.023663
915,0.018662
916,0.013662
917,0.025384
918,0.020385
919,0.015385
920,0.027107
921,0.022107
922,0.03383
923,0.02883
924,0.023829
925,0.018829
926,0.030551
927,0.025552
928,0.020552
929,0.015552
930,0.027274
931,0.022274
932,0.017274
933,0.012274
934,0.023996
935,0.018997
936,0.030719
937,0.025719
938,0.020719
939,0.015719
